Parametro,Valor_optimo,Optimizado
w_max,17.514229108604354,true
ke_suelo,0.1,true
humedad_p50,0.32739222391608147,true
pendiente_hidrica,10,false
humedad_corte,0.06166578655561889,true
recarga_relativa,0.6355771533263329,true
mod_termico,0.85,false
latencia_jd,28,true
ventana_termica,7,true
umbral_termoinhibicion,26.02525090190775,true
ventana_lluvia,3,false
umbral_choque_hidrico,40.47186371294922,true
fin_choque_jd,110,false
techo_choque,0.75,false
umbral_primer_pico,0.7702086591581672,true
persistencia_primer_pico,1,false
lag_dias,40,true
