Fecha,TMAX,TMIN,Prec
2026-01-01,34.6,19.9,0.0
2026-01-02,29.1,16.2,0.0
2026-01-03,23.5,13.5,0.0
2026-01-04,28.0,9.6,0.0
2026-01-05,31.7,12.3,0.25
2026-01-06,33.5,15.4,0.0
2026-01-07,30.6,18.5,0.0
2026-01-08,26.1,11.6,0.0
2026-01-09,29.0,15.5,6.75
2026-01-10,29.2,16.1,0.0
2026-01-11,36.9,15.4,0.0
2026-01-12,38.0,18.8,0.0
2026-01-13,33.8,20.5,0.0
2026-01-14,27.0,15.0,0.1
2026-01-15,28.0,9.0,0.0
2026-01-16,37.0,13.0,0.0
2026-01-17,37.0,10.0,0.0
2026-01-18,37.0,18.0,1.0
2026-01-19,31.0,8.0,0.0
2026-01-20,29.0,15.0,0.0
2026-01-21,39.0,16.0,2.1
2026-01-22,30.0,10.0,0.0
2026-01-23,28.0,13.0,0.0
2026-01-24,19.0,9.0,0.3
2026-01-25,34.0,11.0,0.0
2026-01-26,31.0,7.0,0.0
2026-01-27,33.0,12.0,0.0
2026-01-28,37.0,12.0,0.0
2026-01-29,30.0,13.0,0.0
2026-01-30,26.0,16.0,9.5
2026-01-31,29.0,15.0,0.0
2026-02-01,31.0,16.0,0.0
2026-02-02,36.0,18.0,0.0
2026-02-03,39.0,19.0,0.0
2026-02-04,26.8,17.0,0.0
2026-02-05,30.0,19.0,0.0
2026-02-06,29.0,17.0,0.0
2026-02-07,32.8,12.0,0.0
2026-02-08,30.0,11.0,0.0
2026-02-09,29.0,15.0,1.7
2026-02-10,32.0,15.0,0.0
2026-02-11,26.0,14.0,1.6
2026-02-12,28.0,11.0,0.0
2026-02-13,30.0,15.0,0.0
2026-02-14,32.0,16.0,0.0
2026-02-15,32.0,20.0,12.0
2026-02-16,34.0,19.0,0.0
2026-02-17,35.0,20.0,0.6
2026-02-18,38.0,23.0,0.0
2026-02-19,34.0,22.0,0.3
2026-02-20,37.0,18.0,0.0
2026-02-21,37.0,14.0,0.0
2026-02-22,34.0,15.0,0.0
2026-02-23,36.0,18.0,0.0
2026-02-24,32.0,14.0,0.0
2026-02-25,33.0,10.0,0.0
2026-02-26,36.0,11.0,0.0
